N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;;;;;
309;42;83;1,00;;;;;;;
310;45;84;1,00;;;;;;;
311;9;8;0,75;;;;;;;
312;14;13;0,75;;;;;;;
313;18;15;0,75;;;;;;;
314;26;33;0,75;;;;;;;
315;15;21;0,75;;;;;;;
316;23;68;0,75;;;;;;;
317;17;13;0,75;;;;;;;
318;34;50;0,75;;;;;;;
319;28;74;0,75;;;;;;;
320;24;28;0,75;;;;;;;
321;20;28;0,75;;;;;;;
322;23;21;0,75;;;;;;;
323;13;34;0,75;;;;;;;
324;27;34;0,75;;;;;;;
325;25;29;0,50;;;;;;;
326;48;108,9;1,00;;;;;;;
327;42;78;1,00;;;;;;;
328;50;75;0,75;;;;;;;
329;22;101;0,75;;;;;;;
330;63;29;0,75;;;;;;;
331;25;99;0,75;;;;;;;
332;8;48;0,75;;;;;;;
333;10;53;0,75;;;;;;;
334;23;45;0,75;;;;;;;
335;28;59;0,75;;;;;;;
336;31;28;0,75;;;;;;;
337;27;105;0,75;;;;;;;
338;26;53;0,75;;;;;;;
339;28;52;0,50;;;;;;;
340;10;52;0,50;;;;;;;
341;37;107;0,50;;;;;;;
342;49;124;1,00;;;;;;;
343;48;123;1,00;;;;;;;
344;41;87;1,00;;;;;;;
345;47;95;1,00;;;;;;;
346;49;109;1,00;;;;;;;
347;41;87;1,00;;;;;;;
348;49;124;1,00;;;;;;;
349;44;89;1,00;;;;;;;
350;14;33;0,75;;;;;;;
351;14;33;0,75;;;;;;;
352;14;35;0,75;;;;;;;
353;16;35;0,75;;;;;;;
354;14;35;0,75;;;;;;;
355;11;35;0,75;;;;;;;
356;9;33;0,75;;;;;;;
357;19;29;0,25;;;;;;;
358;25;32;0,25;;;;;;;
359;29;37;0,25;;;;;;;
360;28;35;0,25;;;;;;;
361;16;31;0,75;;;;;;;
362;12;31;0,75;;;;;;;
363;27;19;0,75;;;;;;;
364;33;57;0,75;;;;;;;
365;25;36;0,75;;;;;;;
366;22;23;0,75;;;;;;;
367;27;23;0,75;;;;;;;
368;16;20;0,75;;;;;;;
369;14;12;0,75;;;;;;;
370;11;12;0,75;;;;;;;
371;24;27;0,75;;;;;;;
372;31;27;0,75;;;;;;;
373;19;20;0,25;;;;;;;
374;30;32;0,25;;;;;;;
375;31;32;0,25;;;;;;;
376;49;106;1,00;;;;;;;
377;41;87;1,00;;;;;;;
378;49;109;1,00;;;;;;;
379;43;108;1,00;;;;;;;
380;40;124;1,00;;;;;;;
381;56;124;1,00;;;;;;;
382;40;112;1,00;;;;;;;
383;15;35;0,75;;;;;;;
384;14;35;0,75;;;;;;;
385;15;32;0,75;;;;;;;
386;14;35;0,75;;;;;;;
387;14;35;0,75;;;;;;;
388;14;35;0,75;;;;;;;
389;15;32;0,75;;;;;;;
390;14;33;0,75;;;;;;;
391;14;33;0,75;;;;;;;
392;14;33;0,75;;;;;;;
393;14;33;0,75;;;;;;;
394;14;33;0,75;;;;;;;
395;14;33;0,75;;;;;;;
396;13;35;0,75;;;;;;;
397;13;35;0,75;;;;;;;
398;14;15;0,75;;;;;;;
399;34;60;0,75;;;;;;;
400;18;63;0,75;;;;;;;
401;27;63;0,75;;;;;;;
402;13;63;0,50;;;;;;;
403;22;63;0,50;;;;;;;
404;47;63;0,50;;;;;;;
405;50;10;0,75;;;;;;;
406;20;25;0,75;;;;;;;
407;14;13;0,75;;;;;;;
408;25;8;0,75;;;;;;;
409;16;28;0,75;;;;;;;
410;31;46;0,75;;;;;;;
411;96;69;0,75;;;;;;;
412;12;35;0,75;;;;;;;
413;12;35;0,75;;;;;;;
414;14;35;0,75;;;;;;;
415;13;32;0,75;;;;;;;
416;13;32;0,75;;;;;;;
417;15;35;0,75;;;;;;;
418;15;35;0,75;;;;;;;
419;11;35;0,75;;;;;;;
420;45;104;0,75;;;;;;;
421;25;104;0,75;;;;;;;
422;56;124;1,00;;;;;;;
423;25;24;0,75;;;;;;;
424;60;32;0,75;;;;;;;
425;37;61;0,75;;;;;;;
426;29;21;0,75;;;;;;;
427;29;15;0,75;;;;;;;
428;29;12;0,75;;;;;;;
429;16;41;0,75;;;;;;;
430;14;16;0,75;;;;;;;
431;18;20;0,75;;;;;;;
432;110;37;0,75;;;;;;;
433;101;37;0,75;;;;;;;
434;11;106;0,75;;;;;;;
435;14;13;0,75;;;;;;;
436;14;13;0,75;;;;;;;
437;31;19;0,75;;;;;;;
438;24;55;0,75;;;;;;;
439;26;55;0,75;;;;;;;
440;26;55;0,75;;;;;;;
441;34;31;0,75;;;;;;;
442;77;48;0,75;;;;;;;
443;48;96;0,75;;;;;;;
444;16;17;0,75;;;;;;;
445;10;17;0,75;;;;;;;
446;12;13;0,75;;;;;;;
447;9;13;0,75;;;;;;;
448;28;100;0,75;;;;;;;
449;25;79;0,75;;;;;;;
450;10;15;0,75;;;;;;;
451;14;26;0,75;;;;;;;
452;19;17;0,75;;;;;;;
453;24;60;0,75;;;;;;;
454;23;60;0,75;;;;;;;
455;26;65;0,75;;;;;;;
456;9;29;0,75;;;;;;;
457;15;29;0,75;;;;;;;
458;19;29;0,75;;;;;;;
459;18;17;0,75;;;;;;;
460;25;102;0,75;;;;;;;
461;24;32;0,75;;;;;;;
462;15;32;0,75;;;;;;;
463;24;27;0,75;;;;;;;
464;6;27;0,75;;;;;;;
465;14;32;0,75;;;;;;;
466;36;28;0,75;;;;;;;
467;25;37;0,75;;;;;;;
468;48;78;1,00;;;;;;;
469;41;68;1,00;;;;;;;
470;48;78;1,00;;;;;;;
471;41;68;1,00;;;;;;;
472;48;78;1,00;;;;;;;
473;30;25;1,00;;;;;;;
